CRN,Seats,Capacity
12244,0,30
12245,1,38
12246,0,39
12247,15,37
12248,26,37
12249,6,38
12250,20,90
12251,0,0
12252,0,0
12253,0,0
12254,0,35
12255,13,35
20727,0,35
12256,1,40
12258,11,65
12259,0,72
22093,13,36
12260,0,27
12261,6,27
12262,3,27
12263,3,71
12264,13,27
12265,10,64
12266,9,27
12268,1,20
12269,8,20
12270,2,20
12271,32,72
12272,32,72
12273,38,72
12274,29,40
12275,0,25
12276,0,30
12277,0,40
12278,0,75
12280,0,30
12282,0,48
12283,29,60
20708,35,60
12284,0,15
12285,0,15
12286,0,15
12287,0,15
12288,0,15
12289,0,15
12290,0,15
12291,0,15
12292,0,62
12293,0,57
12294,0,60
12295,0,60
12297,1,40
12298,29,60
12299,0,48
12300,36,65
12301,0,50
12303,17,36
12304,3,20
20719,25,40
12305,25,48
12306,0,48
12307,6,36
22119,0,12
12308,4,40
12309,25,40
12310,30,40
12311,33,72
20720,5,40
21178,0,84
20721,45,75
12313,0,40
12314,11,67
20722,0,67
12315,34,52
12316,30,40
12317,0,0
12318,0,0
12319,0,0
12320,0,0
12321,0,0
12322,0,0
12323,0,0
12324,0,0
12325,0,0
12326,0,0
12327,0,0
12328,0,0
12329,0,0
12330,0,0
12331,0,0
12332,0,0
12333,0,0
12334,0,0
12335,0,0
12336,10,40
12337,13,30
20836,32,40
12339,36,40
12340,0,10
12341,22,30
12344,4,11
20723,4,10
12348,4,4
12350,40,48
22050,0,0
12351,2,2
12352,4,28
12354,30,48
12355,16,20
12356,30,48
12358,25,30
12359,22,30
12360,27,30
21703,15,16
21730,0,0
20728,24,30
20724,38,40
12367,31,48
20725,23,30
12369,1,13
12370,0,0
20947,24,30
12371,0,0
12373,97,99
12374,10,10
12375,98,100
12376,5,5
12377,99,99
12378,9999,9999
12379,98,99
12380,99,99
12381,15,15
12382,10,10
12383,9999,9999
12384,99,99
12385,9999,9999
12386,99,99
12387,99,99
12388,98,99
12389,99,99
12390,9999,9999
12391,9999,9999
12392,9999,9999
12393,9999,9999
12394,9999,9999
12395,9999,9999
12396,99,99
12397,9999,9999
12398,10,10
12399,98,100
12400,9999,9999
12401,99,99
12402,9999,9999
12403,1,1
12404,99,99
12405,999,999
12406,5,5
12407,10,10
12408,999,999
12409,99,99
12410,99,99
12411,4,5
12412,99,99
12413,999,999
12414,100,100
12415,0,0
12416,99,99
12425,22,30
12426,60,72
12427,17,40
12428,29,30
20925,7,8
12431,0,0
12433,0,0
12434,0,0
12435,0,0
12436,0,0
12437,0,0
12438,0,0
21995,16,30
12456,9999,9999
12457,25,25
12458,3,3
12459,9999,9999
12460,99,99
12461,9999,9999
12462,9999,9999
12463,9999,9999
12464,100,100
12465,98,99
12466,5,5
12467,9999,9999
12468,100,100
12469,99,99
12470,5,5
12471,5,5
12472,99,99
12473,99,99
12474,99,99
12475,99,99
12476,99,99
12477,98,99
12478,99,99
12479,100,100
12480,999,999
12481,9998,9999
12482,9999,9999
12483,9999,9999
12484,0,0
12485,9999,9999
12486,9997,9999
12487,97,99
12488,99,99
12489,19,20
12490,98,99
12491,9999,9999
12492,99,99
12493,9999,9999
12494,9999,9999
12495,9999,9999
12496,9999,9999
12497,99,99
12498,100,100
12499,99,99
12500,3,3
12501,99,99
12502,99,99
12503,9999,9999
12504,99,99
12505,3,5
12506,5,5
12507,5,5
12508,99,99
12509,9999,9999
21658,6,15
20726,0,15
12533,9998,9999
12534,99,99
12535,9999,9999
12536,9999,9999
12537,9999,9999
12538,29,30
12539,15,15
12540,9997,9999
12541,99,99
12542,999,999
12543,99,99
12544,98,99
12545,0,0
12546,100,100
12547,98,99
12548,100,100
12549,1,1
12550,9997,9999
12551,98,99
12552,9999,9999
12553,9999,9999
12554,98,99
12555,9999,9999
12556,9999,9999
12557,9999,9999
12558,98,99
12559,4,5
12560,9998,9999
12561,98,99
12562,10,10
12563,9998,9999
12564,99,99
12565,0,0
12566,99,99
12567,9999,9999
12568,100,100
12569,10,10
12570,99,99
12571,98,99
12572,1,1
12573,1,2
12574,1,1
12575,97,99
12576,96,99
12577,9999,9999
12578,9998,9999
12579,15,15
12580,3,5
12581,98,99
12582,0,0
12583,9999,9999
12584,9999,9999
12585,99,99
12586,100,100
12587,0,0
12588,1,1
12589,1,1
