crn,code,name,lecture_type,modality,credits,instructor,days,start_time,end_time,location,exam_type,seats,capacity
80540,AOE 5024,Vehicle Structures,L,Face to Face Instruction,3,RK Kapania,M W,2:30PM,3:45PM,NCB 250,14M,41,75
91944,AOE 5024,Vehicle Structures,ONLINE COURSE   VL,Online: Asynchronous,3,RK Kapania,(ARR),(ARR),ONLINE,00X,92116,4,4
92116,AOE 5064,Structural Optimization,L,Face to Face Instruction,3,RA Canfield,M W F,9:05AM,9:55AM,WHIT 349,09M,7,20
92435,AOE 5064,Structural Optimization,ONLINE COURSE   VL,Online with Synchronous Mtgs.,3,RA Canfield,M W F,9:05AM,9:55AM,ONLINE,09M,0,20
91143,AOE 5074,Adv Ship Structural Analysis,L,,3,CM Gilbert,M W,2:30PM,3:45PM,MCB 316,14M,4,10
91197,AOE 5074,Adv Ship Structural Analysis,ONLINE COURSE   VL,Online: Asynchronous,3,CM Gilbert,(ARR),(ARR),ONLINE,00X,80544,1,30
80544,AOE 5104,Adv Aero Hydrody,L,Face to Face Instruction,3,WJ Devenport,T R,2:00PM,3:15PM,SURGE 108A,14T,54,75
80545,AOE 5104,Adv Aero Hydrody,ONLINE COURSE   VL,Online: Asynchronous,3,WJ Devenport,(ARR),(ARR),ONLINE,00X,80548,22,40
80548,AOE 5154,Data Analysis in Fluid Dyn,L,Face to Face Instruction,3,KT Lowe,T R,3:30PM,4:45PM,MCB 230,15T,27,30
80549,AOE 5154,Data Analysis in Fluid Dyn,ONLINE COURSE   VL,Online: Asynchronous,3,KT Lowe,(ARR),(ARR),ONLINE,00X,91144,5,20
91144,AOE 5164,Fluid Structure Interaction,L,,3,KG Wang,T R,5:00PM,6:15PM,MCB 233,17T,12,20
91201,AOE 5164,Fluid Structure Interaction,ONLINE COURSE   VL,,3,KG Wang,(ARR),(ARR),ONLINE,00X,80550,5,20
80550,AOE 5184,High Speed Propulsion,L,Face to Face Instruction,3,G Young,T R,12:30PM,1:45PM,USLB 310,12T,24,30
80551,AOE 5184,High Speed Propulsion,ONLINE COURSE   VL,Online: Asynchronous,3,G Young,(ARR),(ARR),ONLINE,00X,80552,8,30
80552,AOE 5204,Vehicle Dynamics and Control,L,Face to Face Instruction,3,C Sultan,T R,9:30AM,10:45AM,PAM 2003,09T,30,52
80553,AOE 5204,Vehicle Dynamics and Control,ONLINE COURSE   VL,Online: Asynchronous,3,C Sultan,(ARR),(ARR),ONLINE,00X,91446,10,40
91446,AOE 5315,Naval Ship Design,L,,3,AJ Brown,T R,3:30PM,4:45PM,MCB 218,15T,1,5
80557,AOE 5315,Naval Ship Design,ONLINE COURSE   VL,Online: Asynchronous,3,AJ Brown,(ARR),(ARR),ONLINE,00X,80558,1,10
80558,AOE 5324,Principles of Naval Eng w/App,L,Face to Face Instruction,3,AJ Brown,T R,5:00PM,6:15PM,MCB 307,17T,1,10
80559,AOE 5324,Principles of Naval Eng w/App,ONLINE COURSE   VL,Online: Asynchronous,3,AJ Brown,(ARR),(ARR),ONLINE,00X,80561,7,10
80561,AOE 5434G,Adv Intro Comp Fluid Dynamics,L,Face to Face Instruction,3,CJ Roy,M W F,9:05AM,9:55AM,NCB 250,09M,35,40
80562,AOE 5434G,Adv Intro Comp Fluid Dynamics,ONLINE COURSE   VL,Online: Asynchronous,3,CJ Roy,(ARR),(ARR),ONLINE,00X,80565,10,20
80565,AOE 5654,Intro to Space Science I,L,Face to Face Instruction,3,JB Baker,T R,9:30AM,10:45AM,MCB 113,09T,24,35
80566,AOE 5744,Linear Systems Theory,L,Online with Synchronous Mtgs.,3,AM Boker,T R,11:00AM,12:15PM,TORG 1050,11T,30,34
80567,AOE 5744,Linear Systems Theory,ONLINE COURSE   VL,Online with Synchronous Mtgs.,3,AM Boker,T R,11:00AM,12:15PM,ONLINE,11T,5,30
80569,AOE 5754,Applied Linear Systems,L,Face to Face Instruction,3,SC Southward,T R,11:00AM,12:15PM,GOODW 125,11T,47,55
80570,AOE 5754,Applied Linear Systems,ONLINE COURSE   VL,Online: Asynchronous,3,SC Southward,(ARR),(ARR),ONLINE,00X,80571,12,12
80571,AOE 5774,Nonlinear Systems Theory,L,Face to Face Instruction,3,CA Woolsey,T R,2:00PM,3:15PM,USLB 410,14T,20,40
80572,AOE 5774,Nonlinear Systems Theory,ONLINE COURSE   VL,Online: Asynchronous,3,CA Woolsey,(ARR),(ARR),ONLINE,00X,91176,14,20
91176,AOE 5784,Estimation and Filtering,L,Face to Face Instruction,4,ML Psiaki,T R,8:00AM,9:15AM,MCB 316,08T,20,25
91213,AOE 5784,Estimation and Filtering,ONLINE COURSE   VL,Online with Synchronous Mtgs.,4,ML Psiaki,T R,8:00AM,9:15AM,ONLINE,08T,4,25
80573,AOE 5904,Project and Report,R,,1 TO 19,KK Schroeder,(ARR),(ARR),TBA,00X,80574,0,0
80574,AOE 5904,Project and Report,R,,1 TO 19,BA Davis,(ARR),(ARR),TBA,00X,80575,0,0
80575,AOE 5904,Project and Report,R,,1 TO 19,Y Fu,(ARR),(ARR),TBA,00X,80576,0,0
