crn,code,name,lecture_type,modality,credits,instructor,days,start_time,end_time,location,exam_type,seats,capacity
81436,BC 5144,Sustainable Infastructure Sys,L,Face to Face Instruction,3,AR Pearce,F,9:05AM,12:05PM,BFH 132,09F,22,25
81437,BC 5154,Modeling in Design and Const,L,Face to Face Instruction,3,N Roofigari Esfahan,M,10:10AM,12:05PM,BFH 210,10M,7,10
81438,BC 5314,Applied Building Sciences,L,Face to Face Instruction,3,G Reichard,W,10:10AM,11:00AM,BFH 230,10W,12,15
81439,BC 5514,Princ & Practices of Constr I,L,Face to Face Instruction,3,X Lv,T R,9:30AM,10:45AM,HITT 100,09T,3,6
81440,BC 5524,Princ & Practices of Constr II,L,Face to Face Instruction,3,X Lv,T R,3:30PM,4:45PM,HITT 300A,15T,2,5
81441,BC 5904,Project and Report,R,,1 TO 19,AP McCoy,(ARR),(ARR),TBA,00X,81442,0,0
81442,BC 5904,Project and Report,R,,1 TO 19,BM Kleiner,(ARR),(ARR),TBA,00X,81443,0,0
81443,BC 5904,Project and Report,R,,1 TO 19,A Shojaei kol kachi,(ARR),(ARR),TBA,00X,81444,0,0
81444,BC 5904,Project and Report,R,,1 TO 19,T Turkaslan Bulbul,(ARR),(ARR),TBA,00X,81445,0,0
81445,BC 5904,Project and Report,R,,1 TO 19,WY Thabet,(ARR),(ARR),TBA,00X,81446,0,0
81446,BC 5904,Project and Report,R,,1 TO 19,AR Pearce,(ARR),(ARR),TBA,00X,81447,0,0
81447,BC 5904,Project and Report,R,,1 TO 19,G Reichard,(ARR),(ARR),TBA,00X,81448,0,0
81448,BC 5904,Project and Report,R,,1 TO 19,J Iorio,(ARR),(ARR),TBA,00X,81449,0,0
81449,BC 5904,Project and Report,R,,1 TO 19,TH Mills,(ARR),(ARR),TBA,00X,81450,0,0
81450,BC 5974,Independent Study,I,,1 TO 19,L Zhang,(ARR),(ARR),TBA,00X,81451,0,0
81451,BC 5974,Independent Study,I,,1 TO 19,A Shojaei kol kachi,(ARR),(ARR),TBA,00X,81452,0,0
81452,BC 5974,Independent Study,I,,1 TO 19,G Reichard,(ARR),(ARR),TBA,00X,81453,0,0
81453,BC 5974,Independent Study,I,,1 TO 19,T Turkaslan Bulbul,(ARR),(ARR),TBA,00X,81454,0,0
81454,BC 5974,Independent Study,I,,1 TO 19,AR Pearce,(ARR),(ARR),TBA,00X,81455,0,0
81455,BC 5974,Independent Study,I,,1 TO 19,N Roofigari Esfahan,(ARR),(ARR),TBA,00X,81456,0,0
81456,BC 5974,Independent Study,I,,1 TO 19,AP McCoy,(ARR),(ARR),TBA,00X,81457,0,0
81457,BC 5974,Independent Study,I,,1 TO 19,J Iorio,(ARR),(ARR),TBA,00X,81458,0,0
81458,BC 5974,Independent Study,I,,1 TO 19,WY Thabet,(ARR),(ARR),TBA,00X,92563,0,0
92563,BC 5974,Independent Study,I,,1 TO 19,R Zhang,(ARR),(ARR),TBA,00X,91759,0,0
91759,BC 5984,SS: Decision Making & Risk Mgt,L,Face to Face Instruction,3,A Shojaei kol kachi,T R,11:00AM,12:15PM,HITT 300A,11T,17,20
81459,BC 5994,Research and Thesis,R,,1 TO 19,J Iorio,(ARR),(ARR),TBA,00X,81460,0,0
81460,BC 5994,Research and Thesis,R,,1 TO 19,T Turkaslan Bulbul,(ARR),(ARR),TBA,00X,81461,0,0
81461,BC 5994,Research and Thesis,R,,1 TO 19,Staff,(ARR),(ARR),TBA,00X,81462,0,0
81462,BC 5994,Research and Thesis,R,,1 TO 19,G Reichard,(ARR),(ARR),TBA,00X,81463,0,0
81463,BC 5994,Research and Thesis,R,,1 TO 19,R Zhang,(ARR),(ARR),TBA,00X,81464,0,0
81464,BC 5994,Research and Thesis,R,,1 TO 19,X Gao,(ARR),(ARR),TBA,00X,81465,0,0
81465,BC 5994,Research and Thesis,R,,1 TO 19,WY Thabet,(ARR),(ARR),TBA,00X,81466,0,0
81466,BC 5994,Research and Thesis,R,,1 TO 19,AP McCoy,(ARR),(ARR),TBA,00X,81467,0,0
81467,BC 5994,Research and Thesis,R,,1 TO 19,N Roofigari Esfahan,(ARR),(ARR),TBA,00X,81468,0,0
81468,BC 5994,Research and Thesis,R,,1 TO 19,TH Mills,(ARR),(ARR),TBA,00X,81469,0,0
81469,BC 5994,Research and Thesis,R,,1 TO 19,AR Pearce,(ARR),(ARR),TBA,00X,81470,0,0
81470,BC 5994,Research and Thesis,R,,1 TO 19,A Shojaei kol kachi,(ARR),(ARR),TBA,00X,,0,0
